Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
grafo10536.99.zdd,,,timeout,,,,
grafo10537.95.zdd,,,timeout,,,,
grafo10538.100.zdd,,,timeout,,,,
grafo10547.94.zdd,,,timeout,,,,
grafo10549.99.zdd,,,timeout,,,,
grafo10552.96.zdd,,,timeout,,,,
grafo10560.95.zdd,,,timeout,,,,
grafo10575.99.zdd,,,timeout,,,,
grafo10577.100.zdd,,,timeout,,,,
grafo10578.96.zdd,,,timeout,,,,
grafo10586.100.zdd,,,timeout,,,,
grafo10589.93.zdd,,,timeout,,,,
grafo10592.98.zdd,,,timeout,,,,
grafo10596.99.zdd,,,timeout,,,,
grafo10603.100.zdd,,,timeout,,,,
grafo10608.93.zdd,,,timeout,,,,
grafo10624.91.zdd,,,timeout,,,,
grafo10626.100.zdd,,,timeout,,,,
grafo10630.94.zdd,,,timeout,,,,
grafo10632.100.zdd,,,timeout,,,,
grafo10633.100.zdd,,,timeout,,,,
grafo10634.96.zdd,,,timeout,,,,
grafo10635.95.zdd,,,timeout,,,,
grafo10637.94.zdd,,,timeout,,,,
grafo10638.100.zdd,,,timeout,,,,
grafo10644.100.zdd,,,timeout,,,,
grafo10646.100.zdd,,,timeout,,,,
grafo10648.98.zdd,,,timeout,,,,
grafo10650.98.zdd,,,timeout,,,,
grafo10652.100.zdd,,,timeout,,,,
grafo10653.100.zdd,,,timeout,,,,
grafo10662.100.zdd,,,timeout,,,,
grafo10663.99.zdd,,,timeout,,,,
grafo10670.100.zdd,,,timeout,,,,
grafo10671.100.zdd,,,timeout,,,,
grafo10674.99.zdd,,,timeout,,,,
grafo10676.100.zdd,,,timeout,,,,
grafo10685.98.zdd,,,timeout,,,,
grafo10688.95.zdd,,,timeout,,,,
grafo10689.98.zdd,,,timeout,,,,
grafo10693.98.zdd,,,timeout,,,,
grafo10694.96.zdd,,,timeout,,,,
grafo10695.98.zdd,,,timeout,,,,
grafo10696.99.zdd,,,timeout,,,,
grafo10698.95.zdd,,,timeout,,,,
grafo10700.98.zdd,,,timeout,,,,
grafo10712.98.zdd,,,timeout,,,,
grafo10713.92.zdd,,,timeout,,,,
grafo10714.99.zdd,,,timeout,,,,
grafo10722.96.zdd,,,timeout,,,,
grafo10726.99.zdd,,,timeout,,,,
grafo10735.99.zdd,,,timeout,,,,
grafo10736.99.zdd,,,timeout,,,,
grafo10737.99.zdd,,,timeout,,,,
grafo10750.100.zdd,,,timeout,,,,
grafo10758.96.zdd,,,timeout,,,,
grafo10760.96.zdd,,,timeout,,,,
grafo10772.100.zdd,,,timeout,,,,
grafo10780.99.zdd,,,timeout,,,,
grafo10781.100.zdd,,,timeout,,,,
grafo10792.98.zdd,,,timeout,,,,
grafo10806.97.zdd,,,timeout,,,,
grafo10807.95.zdd,,,timeout,,,,
grafo10808.98.zdd,,,timeout,,,,
grafo10810.97.zdd,,,timeout,,,,
grafo10811.96.zdd,,,timeout,,,,
grafo10814.98.zdd,,,timeout,,,,
grafo10820.100.zdd,,,timeout,,,,
grafo10825.98.zdd,,,timeout,,,,
grafo10827.99.zdd,,,timeout,,,,
grafo10829.97.zdd,,,timeout,,,,
grafo10831.98.zdd,,,timeout,,,,
grafo10832.94.zdd,,,timeout,,,,
grafo10836.97.zdd,,,timeout,,,,
grafo10849.95.zdd,,,timeout,,,,
grafo10854.99.zdd,,,timeout,,,,
grafo10859.97.zdd,,,timeout,,,,
grafo10860.93.zdd,,,timeout,,,,
grafo10861.100.zdd,,,timeout,,,,
grafo10862.98.zdd,,,timeout,,,,
grafo10864.99.zdd,,,timeout,,,,
grafo10865.100.zdd,,,timeout,,,,
grafo10866.98.zdd,,,timeout,,,,
grafo10876.98.zdd,,,timeout,,,,
grafo10878.94.zdd,,,timeout,,,,
grafo10882.95.zdd,,,timeout,,,,
grafo10883.93.zdd,,,timeout,,,,
grafo10898.95.zdd,,,timeout,,,,
grafo10905.97.zdd,,,timeout,,,,
grafo10907.99.zdd,,,timeout,,,,
grafo10908.98.zdd,,,timeout,,,,
