Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
grafo10090.97.zdd,,,timeout,,,,
grafo10091.96.zdd,,,timeout,,,,
grafo10092.97.zdd,,,timeout,,,,
grafo10093.98.zdd,,,timeout,,,,
grafo10095.93.zdd,,,timeout,,,,
grafo10096.95.zdd,,,timeout,,,,
grafo10097.95.zdd,,,timeout,,,,
grafo10098.95.zdd,,,timeout,,,,
grafo10099.94.zdd,,,timeout,,,,
grafo10100.99.zdd,,,timeout,,,,
grafo10101.92.zdd,,,timeout,,,,
grafo10102.97.zdd,,,timeout,,,,
grafo10103.98.zdd,,,timeout,,,,
grafo10104.96.zdd,,,timeout,,,,
grafo10105.93.zdd,,,timeout,,,,
grafo10106.100.zdd,,,timeout,,,,
grafo10107.93.zdd,,,timeout,,,,
grafo10108.99.zdd,,,timeout,,,,
grafo10109.95.zdd,,,timeout,,,,
grafo10110.97.zdd,,,timeout,,,,
grafo10111.96.zdd,,,timeout,,,,
grafo10112.98.zdd,,,timeout,,,,
grafo10113.94.zdd,,,timeout,,,,
grafo10114.95.zdd,,,timeout,,,,
grafo10115.92.zdd,,,timeout,,,,
grafo10116.100.zdd,,,timeout,,,,
grafo10117.98.zdd,,,timeout,,,,
grafo10118.97.zdd,,,timeout,,,,
grafo10120.96.zdd,,,timeout,,,,
grafo10121.95.zdd,,,timeout,,,,
grafo10122.96.zdd,,,timeout,,,,
grafo10123.96.zdd,,,timeout,,,,
grafo10124.100.zdd,,,timeout,,,,
grafo10125.99.zdd,,,timeout,,,,
grafo10126.98.zdd,,,timeout,,,,
grafo10127.94.zdd,,,timeout,,,,
grafo10128.98.zdd,,,timeout,,,,
grafo10129.99.zdd,,,timeout,,,,
grafo10130.97.zdd,,,timeout,,,,
grafo10131.98.zdd,,,timeout,,,,
grafo10132.97.zdd,,,timeout,,,,
grafo10133.32.zdd,,,0.0055,,8,,
grafo10134.33.zdd,,,0.0032,,3,,
grafo10135.35.zdd,,,0.0034,,4,,
grafo10136.39.zdd,,,0.0028,,3,,
grafo10137.36.zdd,,,0.0024,,2,,
grafo10138.33.zdd,,,0.0041,,10,,
grafo10139.95.zdd,,,timeout,,,,
grafo10140.40.zdd,,,0.0052,,5,,
grafo10141.38.zdd,,,0.0037,,3,,
grafo10142.37.zdd,,,0.0055,,16,,
