Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
grafo10127.94.zdd,,,,7.5957,,313835999269989632,767
grafo10128.98.zdd,,,,6.1827,,8664945570017705984,770
grafo10129.99.zdd,,,,timeout,,,
grafo10130.97.zdd,,,,timeout,,,
grafo10131.98.zdd,,,,5.5378,,17849569858185265152,664
grafo10132.97.zdd,,,,timeout,,,
grafo10133.32.zdd,,,,0.0081,,8,18
grafo10134.33.zdd,,,,0.0069,,3,10
grafo10135.35.zdd,,,,0.0075,,4,14
grafo10136.39.zdd,,,,0.0086,,3,12
grafo10137.36.zdd,,,,0.0056,,2,11
grafo10138.33.zdd,,,,0.0049,,10,20
grafo10139.95.zdd,,,,155.7965,,14976388844892979200,139611
grafo10140.40.zdd,,,,0.0098,,5,17
grafo10141.38.zdd,,,,0.0068,,3,12
grafo10142.37.zdd,,,,0.0078,,16,22
grafo10143.93.zdd,,,,145.6812,,2002403207769227264,163108
grafo10144.98.zdd,,,,timeout,,,
grafo10145.94.zdd,,,,377.5092,,17152383545319096320,303810
grafo10146.97.zdd,,,,309.1586,,9395945301496152,2249384
grafo10147.94.zdd,,,,5.9139,,3311454527234015232,748
grafo10148.97.zdd,,,,timeout,,,
grafo10149.95.zdd,,,,7.0646,,12009369639134953472,780
grafo10150.95.zdd,,,,4.2619,,15381005992364048384,631
grafo10151.94.zdd,,,,timeout,,,
grafo10152.96.zdd,,,,104.9424,,10660867554777497600,107922
grafo10153.100.zdd,,,,timeout,,,
grafo10154.94.zdd,,,,5.9751,,13911569613663043584,717
grafo10155.97.zdd,,,,5.1117,,272847129035341824,659
grafo10156.97.zdd,,,,timeout,,,
grafo10157.94.zdd,,,,356.0109,,15427359226122469376,245423
grafo10158.91.zdd,,,,358.0382,,14752537740740526080,522630
grafo10159.95.zdd,,,,196.7089,,17146016578098167808,148505
grafo10160.96.zdd,,,,531.9996,,6556638778370567899,3708945
grafo10161.99.zdd,,,,timeout,,,
grafo10162.93.zdd,,,,timeout,,,
grafo10163.93.zdd,,,,173.6044,,16366905408647692288,132475
grafo10164.98.zdd,,,,timeout,,,
grafo10165.96.zdd,,,,775.5173,,1264329452985079040,4054812
grafo10166.98.zdd,,,,5.3477,,12181374425813372928,764
grafo10167.96.zdd,,,,7.6916,,6978438697449783296,786
grafo10168.95.zdd,,,,184.4944,,1934593189751029760,184365
grafo10169.93.zdd,,,,157.9744,,11142986188719732736,170838
grafo10170.96.zdd,,,,5.8791,,6346604727424961792,723
grafo10171.99.zdd,,,,timeout,,,
grafo10172.99.zdd,,,,5.7210,,8884164970885576704,749
grafo10173.97.zdd,,,,timeout,,,
grafo10174.95.zdd,,,,6.4791,,18393812181762179072,813
grafo10175.99.zdd,,,,timeout,,,
grafo10176.97.zdd,,,,timeout,,,
grafo10177.96.zdd,,,,240.6588,,15834343788181979136,209021
grafo10178.99.zdd,,,,5.1782,,2676030100246245376,723
grafo10179.97.zdd,,,,timeout,,,
grafo1018.29.zdd,,,,0.0050,,3,10
grafo10180.98.zdd,,,,5.4987,,10274647755385208832,728
grafo10181.93.zdd,,,,4.3996,,9210347523132575744,720
grafo10182.33.zdd,,,,0.0036,,5,14
grafo10183.100.zdd,,,,6.5632,,17384169085942394880,761
grafo10184.100.zdd,,,,timeout,,,
grafo10185.32.zdd,,,,0.0048,,5,12
grafo10186.39.zdd,,,,0.0083,,9,19
grafo10187.33.zdd,,,,0.0066,,44,41
grafo10188.38.zdd,,,,0.0087,,6,14
grafo10189.38.zdd,,,,0.0082,,5,16
grafo10190.34.zdd,,,,0.0098,,3,11
grafo10191.34.zdd,,,,0.0055,,10,22
grafo10192.39.zdd,,,,0.0087,,15,27
grafo10193.38.zdd,,,,0.0090,,8,19
grafo10194.97.zdd,,,,1273.8020,,16931848631423443836,4384760
grafo10195.99.zdd,,,,timeout,,,
grafo10196.94.zdd,,,,521.5156,,15254102511524065280,495592
grafo10197.96.zdd,,,,timeout,,,
grafo10198.94.zdd,,,,279.0723,,2240013234394857472,245698
grafo10199.98.zdd,,,,135.0050,,14176461508443111424,134565
grafo10200.96.zdd,,,,3.7655,,8174459284992000000,583
grafo10201.93.zdd,,,,74.7484,,2179638441208184832,93179
grafo10202.92.zdd,,,,6.2943,,15840170836137646080,725
grafo10203.97.zdd,,,,timeout,,,
grafo10204.100.zdd,,,,78.1639,,2100027600345510,996195
grafo10205.97.zdd,,,,timeout,,,
grafo10206.97.zdd,,,,4.3890,,11517490586714112000,627
grafo10207.98.zdd,,,,timeout,,,
grafo10208.98.zdd,,,,5.6528,,2143551157034352640,699
grafo10209.99.zdd,,,,timeout,,,
grafo10210.92.zdd,,,,122.2202,,7396102473252945920,197412
grafo10211.92.zdd,,,,190.3250,,4058886606728593408,183124
grafo10212.97.zdd,,,,4.1195,,1813462623133761536,697
grafo10213.99.zdd,,,,4.9155,,3005838544080195584,680
grafo10214.94.zdd,,,,195.2011,,7564815557633671168,271095
grafo10215.93.zdd,,,,timeout,,,
grafo10216.97.zdd,,,,5.2733,,13991625326781837312,700
grafo10217.99.zdd,,,,8.0045,,15470220326890635264,769
grafo10218.99.zdd,,,,timeout,,,
grafo10219.99.zdd,,,,3.8543,,8847341989252300800,595
grafo10220.97.zdd,,,,timeout,,,
grafo10221.95.zdd,,,,6.5465,,2169306785457957376,718
grafo10222.99.zdd,,,,3.6033,,9005330011708800000,597
grafo10223.100.zdd,,,,timeout,,,
grafo10224.95.zdd,,,,7.2252,,10746902482077614080,810
grafo10225.99.zdd,,,,6.0657,,17390271259916746752,711
grafo10226.97.zdd,,,,68.1226,,2767492966984187904,76955
grafo10227.96.zdd,,,,5.0491,,9397145094761793536,690
grafo10228.95.zdd,,,,340.6855,,8751580871578360304,1307155
grafo10229.36.zdd,,,,0.0071,,10,25
grafo10230.37.zdd,,,,0.0053,,2,10
grafo10231.32.zdd,,,,0.0033,,8,19
grafo10232.37.zdd,,,,0.0072,,4,16
grafo10233.34.zdd,,,,0.0068,,4,13
grafo120.40.zdd,,,,5.4792,,1537,227
grafo121.20.zdd,,,,2.5290,,12000000,192
grafo124.28.zdd,,,,7.7007,,3983500,54836
grafo125.32.zdd,,,,2.1264,,1320000,152
grafo126.22.zdd,,,,5.0528,,399300000,284
grafo127.21.zdd,,,,5.9222,,3180600,716
grafo128.35.zdd,,,,3.7068,,2419200,242
grafo142.33.zdd,,,,3.9897,,133100000,213
grafo143.29.zdd,,,,1.1686,,870,127
grafo144.12.zdd,,,,2.6330,,204672000,398
grafo150.31.zdd,,,,25.1862,,181468750,9398
grafo159.24.zdd,,,,3.9077,,16900,180
grafo161.31.zdd,,,,2.7262,,70200,437
grafo162.24.zdd,,,,2.1418,,30544800,326
grafo166.10.zdd,,,,3.6525,,17000000,217
grafo167.22.zdd,,,,2.6069,,1436160,213
grafo173.26.zdd,,,,3.5185,,1723392,219
grafo174.27.zdd,,,,3.1756,,675,132
grafo175.23.zdd,,,,3.6889,,650,119
grafo177.11.zdd,,,,2.1118,,14300000,485
grafo179.35.zdd,,,,11.5134,,216069120,4216
grafo180.27.zdd,,,,5.6138,,731250,290
grafo183.28.zdd,,,,4.6407,,1044480,194
grafo184.41.zdd,,,,2.3931,,1430000,170
grafo188.23.zdd,,,,4.0878,,16250,179
grafo193.12.zdd,,,,2.1684,,1210000,160
grafo194.23.zdd,,,,4.7009,,1075,184
grafo196.30.zdd,,,,4.7926,,16250,179
grafo197.15.zdd,,,,2.1481,,841,141
grafo198.18.zdd,,,,47.9882,,88187500,6165
grafo211.14.zdd,,,,2.5283,,2057000,172
grafo216.18.zdd,,,,1.4455,,1075,170
grafo218.17.zdd,,,,2.6060,,32912000,219
grafo220.13.zdd,,,,18.5358,,48750,405
grafo221.15.zdd,,,,3.0029,,1000000,158
grafo229.13.zdd,,,,2.2684,,2924544,277
grafo230.14.zdd,,,,2.9424,,1430000,164
grafo233.11.zdd,,,,3.0223,,170931600,1735
grafo234.12.zdd,,,,3.7924,,921600,184
grafo236.15.zdd,,,,8.8111,,6100,597
grafo237.16.zdd,,,,10.0577,,22913280,664
grafo238.10.zdd,,,,1.5796,,36180000,552
grafo242.14.zdd,,,,5.6218,,406250,247
grafo245.21.zdd,,,,5.3801,,2924544,287
grafo246.11.zdd,,,,3.6516,,864000,189
grafo247.15.zdd,,,,1.7690,,1210000,154
grafo249.22.zdd,,,,19.6621,,5093125,987
grafo250.13.zdd,,,,11.0252,,8090128800,4010
grafo259.12.zdd,,,,4.1763,,16900,175
grafo263.11.zdd,,,,13.4371,,291525,6833
grafo265.10.zdd,,,,4.2185,,118560000,321
grafo268.15.zdd,,,,1.8692,,1331000,167
grafo280.11.zdd,,,,5.1721,,7560000,12084
grafo281.14.zdd,,,,5.3609,,101640000,318
grafo283.24.zdd,,,,3.4167,,1134000,201
grafo284.28.zdd,,,,2.7640,,625,111
grafo285.14.zdd,,,,5.1947,,421875,229
grafo287.19.zdd,,,,4.2212,,979200,185
grafo289.40.zdd,,,,1.8486,,6930000,256
grafo292.16.zdd,,,,31.8743,,111767500,8078
grafo293.17.zdd,,,,2.3392,,1300000,166
grafo295.15.zdd,,,,4.7064,,2500000,186
grafo297.15.zdd,,,,4.1209,,7040000,367
grafo299.19.zdd,,,,2.8753,,24200000,228
grafo329.17.zdd,,,,4.2463,,253000000,238
grafo331.15.zdd,,,,7.5816,,1492775,486
grafo332.82.zdd,,,,4.3663,,31850,257
grafo336.21.zdd,,,,1.4550,,675,126
grafo337.15.zdd,,,,2.4029,,10557000,237
